benchmark,status,reason,policy,line_size,l1d_size,l1d_assoc,l2_size,l2_assoc,prefetch_buffer_lines,stream_slots,max_stream_length,epoch_reads,stream_lifetime,prefetch_latency,miss_latency,l2_hit_latency,hit_latency,write_latency,base_cost,max_prefetch_depth,bootstrap_next_line,selected_cycles,baseline_cycles,speedup,accuracy,coverage
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8104282117,8228927942,1.015380,0.7841,0.7512
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8328472674,8459110444,1.015686,0.7801,0.5254
dealII,ok,ok,nextline,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8412226261,8565285908,1.018195,0.8094,0.5646
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,2,1,8306880976,8394124518,1.010503,0.8327,0.4713
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,8,2000,256,8,80,10,1,1,1,8,1,8226753697,8311864554,1.010346,0.5798,0.5034
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,2,1,8236974380,8322299825,1.010359,0.8308,0.4938
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,4,32,2000,256,8,80,10,1,1,1,8,1,8188080962,8271925320,1.010240,0.5391,0.5019
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,2,1,8226790081,8318138354,1.011104,0.8183,0.4537
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,2,1,8189548071,8283283037,1.011446,0.8095,0.5349
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,8,2000,256,8,80,10,1,1,1,8,1,8317599818,8406202142,1.010652,0.5433,0.3949
dealII,ok,ok,adaptive,64,4096,1,1048576,1,16,8,32,2000,256,8,80,10,1,1,1,8,1,8307816818,8396336754,1.010655,0.5071,0.5281
